,uri,,ref_id,,title,,first_date,,container,
<record><uri>,/repositories/3/archival_objects/1453365,</uri><cid>,MC147_c39083-82749,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1935,</unitdate><container>,box 4 folder 15 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453366,</uri><cid>,MC147_c19493-73859,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1936,</unitdate><container>,box 4 folder 16 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453367,</uri><cid>,MC147_c72443-57847,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1937,</unitdate><container>,box 4 folder 17 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453368,</uri><cid>,MC147_c56266-84496,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1938,</unitdate><container>,box 4 folder 18 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453369,</uri><cid>,MC147_c96127-99059,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1940 February,</unitdate><container>,box 4 folder 19 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453370,</uri><cid>,MC147_c44246-09972,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1940 April,</unitdate><container>,box 4 folder 20 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453371,</uri><cid>,MC147_c37518-40071,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1940 December,</unitdate><container>,box 4 folder 21 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453372,</uri><cid>,MC147_c17097-47617,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1941 May,</unitdate><container>,box 4 folder 22 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453373,</uri><cid>,MC147_c46775-06826,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1942 April,</unitdate><container>,box 4 folder 23 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453374,</uri><cid>,MC147_c98980-42776,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1942 December,</unitdate><container>,box 4 folder 24 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453375,</uri><cid>,MC147_c12639-95836,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1943 May,</unitdate><container>,box 4 folder 25 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453376,</uri><cid>,MC147_c24223-76251,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1943 December,</unitdate><container>,box 4 folder 26 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453377,</uri><cid>,MC147_c05545-66008,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1944 June,</unitdate><container>,box 4 folder 27 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453378,</uri><cid>,MC147_c94161-33916,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1945,</unitdate><container>,box 4 folder 28 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453379,</uri><cid>,MC147_c12127-90504,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1946 May,</unitdate><container>,box 4 folder 29 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453380,</uri><cid>,MC147_c74654-76503,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1947 May,</unitdate><container>,box 4 folder 30 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453381,</uri><cid>,MC147_c62882-13982,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1948 May,</unitdate><container>,box 4 folder 31 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453382,</uri><cid>,MC147_c35329-46591,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1949 May,</unitdate><container>,box 4 folder 32 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453383,</uri><cid>,MC147_c28791-14582,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1950 April,</unitdate><container>,box 4 folder 33 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453384,</uri><cid>,MC147_c62214-26772,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1951 April,</unitdate><container>,box 4 folder 34 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453385,</uri><cid>,MC147_c11855-83777,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1952 March,</unitdate><container>,box 4 folder 35 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453386,</uri><cid>,MC147_c03971-09962,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1952 November,</unitdate><container>,box 4 folder 36 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453387,</uri><cid>,MC147_c05030-29763,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1953 April,</unitdate><container>,box 4 folder 37 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453388,</uri><cid>,MC147_c60277-70106,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1954 May,</unitdate><container>,box 4 folder 38 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453389,</uri><cid>,MC147_c32359-18168,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1955 April,</unitdate><container>,box 4 folder 39 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453390,</uri><cid>,MC147_c38189-71052,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1956 April,</unitdate><container>,box 4 folder 40 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453391,</uri><cid>,MC147_c10617-40223,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1956 November,</unitdate><container>,box 4 folder 41 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453392,</uri><cid>,MC147_c10711-58810,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1957 April,</unitdate><container>,box 4 folder 42 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453393,</uri><cid>,MC147_c38695-78469,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1958 April,</unitdate><container>,box 4 folder 43 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453394,</uri><cid>,MC147_c53881-44154,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1959 January,</unitdate><container>,box 4 folder 44 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453395,</uri><cid>,MC147_c57043-71627,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1959 April,</unitdate><container>,box 4 folder 45 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453396,</uri><cid>,MC147_c26707-24089,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1960 February,</unitdate><container>,box 4 folder 46 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453397,</uri><cid>,MC147_c49874-58648,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1960 May,</unitdate><container>,box 4 folder 47 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453398,</uri><cid>,MC147_c73259-64223,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1961 February,</unitdate><container>,box 4 folder 48 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453400,</uri><cid>,MC147_c33844-34882,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1961 April,</unitdate><container>,box 5 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453401,</uri><cid>,MC147_c48194-06410,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1962 February,</unitdate><container>,box 5 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453402,</uri><cid>,MC147_c39179-14276,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1962 May,</unitdate><container>,box 5 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453403,</uri><cid>,MC147_c67337-80240,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1963 February,</unitdate><container>,box 5 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453404,</uri><cid>,MC147_c11337-51621,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1963 May,</unitdate><container>,box 5 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453405,</uri><cid>,MC147_c01028-65521,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1964 February,</unitdate><container>,box 5 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453406,</uri><cid>,MC147_c22089-75107,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1964 May,</unitdate><container>,box 5 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453407,</uri><cid>,MC147_c99789-18488,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1965 February,</unitdate><container>,box 5 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453408,</uri><cid>,MC147_c08425-66362,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1965 May,</unitdate><container>,box 5 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453409,</uri><cid>,MC147_c44638-57136,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1966 February,</unitdate><container>,box 5 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453410,</uri><cid>,MC147_c67931-57094,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1966 May,</unitdate><container>,box 5 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453411,</uri><cid>,MC147_c30244-46531,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1967 February,</unitdate><container>,box 5 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453412,</uri><cid>,MC147_c91112-87401,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1967 May,</unitdate><container>,box 5 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453413,</uri><cid>,MC147_c17582-94238,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1967 December,</unitdate><container>,box 5 folder 14 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453414,</uri><cid>,MC147_c31452-39809,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1968 February,</unitdate><container>,box 5 folder 15 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453415,</uri><cid>,MC147_c66093-63786,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1968 May,</unitdate><container>,box 5 folder 16 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453416,</uri><cid>,MC147_c24843-72121,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1968 November,</unitdate><container>,box 5 folder 17 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453417,</uri><cid>,MC147_c27484-56843,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1969 February,</unitdate><container>,box 5 folder 18 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453418,</uri><cid>,MC147_c28476-36831,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1969 May,</unitdate><container>,box 5 folder 19 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453419,</uri><cid>,MC147_c49326-70847,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1969 November,</unitdate><container>,box 6 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453420,</uri><cid>,MC147_c66597-41277,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1970 February,</unitdate><container>,box 6 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453421,</uri><cid>,MC147_c91967-81412,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1970 May,</unitdate><container>,box 6 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453422,</uri><cid>,MC147_c47429-92664,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1970 December,</unitdate><container>,box 6 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453423,</uri><cid>,MC147_c51695-77856,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1971 February,</unitdate><container>,box 6 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453424,</uri><cid>,MC147_c87172-77156,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1971 May,</unitdate><container>,box 6 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453425,</uri><cid>,MC147_c19126-06820,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1971 December,</unitdate><container>,box 6 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453426,</uri><cid>,MC147_c80540-29264,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1972 February,</unitdate><container>,box 6 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453427,</uri><cid>,MC147_c17972-46934,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1972 May,</unitdate><container>,box 6 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453428,</uri><cid>,MC147_c28349-51500,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1973 February,</unitdate><container>,box 6 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453429,</uri><cid>,MC147_c19906-46015,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1973 May,</unitdate><container>,box 6 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453430,</uri><cid>,MC147_c36632-72836,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1973 December,</unitdate><container>,box 6 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453431,</uri><cid>,MC147_c48837-65410,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1974 May,</unitdate><container>,box 6 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453432,</uri><cid>,MC147_c74802-53010,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1975 January,</unitdate><container>,box 6 folder 14 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453433,</uri><cid>,MC147_c55275-67550,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1975 May,</unitdate><container>,box 6 folder 15 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453434,</uri><cid>,MC147_c19895-95651,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1975 December,</unitdate><container>,box 6 folder 16 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453435,</uri><cid>,MC147_c48146-59596,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1976 May,</unitdate><container>,box 6 folder 17 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453436,</uri><cid>,MC147_c76482-77629,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1976 December,</unitdate><container>,box 6 folder 18 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453437,</uri><cid>,MC147_c26312-99135,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1977 May,</unitdate><container>,box 6 folder 19 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453438,</uri><cid>,MC147_c91996-00214,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1977 December,</unitdate><container>,box 6 folder 20 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453439,</uri><cid>,MC147_c32354-87368,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1978 May,</unitdate><container>,box 6 folder 21 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453440,</uri><cid>,MC147_c15147-51331,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1978 December,</unitdate><container>,box 6 folder 22 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453441,</uri><cid>,MC147_c17553-17845,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1979 May,</unitdate><container>,box 6 folder 23 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453473,</uri><cid>,MC147_c97734-97617,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1979 November,</unitdate><container>,box 7 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453474,</uri><cid>,MC147_c81869-95775,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1980 May,</unitdate><container>,box 7 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453475,</uri><cid>,MC147_c40918-86638,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1980 December,</unitdate><container>,box 7 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453476,</uri><cid>,MC147_c39778-59725,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1981 May,</unitdate><container>,box 7 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453477,</uri><cid>,MC147_c92950-12032,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1981 December,</unitdate><container>,box 7 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453478,</uri><cid>,MC147_c92935-48212,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1982 May,</unitdate><container>,box 7 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453442,</uri><cid>,MC147_c40787-89590,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1982 December,</unitdate><container>,box 8 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453443,</uri><cid>,MC147_c82695-48552,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1983 May,</unitdate><container>,box 8 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453444,</uri><cid>,MC147_c47857-51370,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1983 December,</unitdate><container>,box 8 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453445,</uri><cid>,MC147_c95967-99531,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1984 May,</unitdate><container>,box 8 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453446,</uri><cid>,MC147_c58089-38865,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1984 December,</unitdate><container>,box 8 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453447,</uri><cid>,MC147_c56696-80316,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1985 December,</unitdate><container>,box 8 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453448,</uri><cid>,MC147_c29036-80318,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1986 May,</unitdate><container>,box 8 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453479,</uri><cid>,MC147_c92497-18102,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1986 May,</unitdate><container>,box 9 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453480,</uri><cid>,MC147_c74695-26153,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1986 December,</unitdate><container>,box 9 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453481,</uri><cid>,MC147_c64188-36065,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1987 May,</unitdate><container>,box 9 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453482,</uri><cid>,MC147_c79093-26365,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1987 May,</unitdate><container>,box 9 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453483,</uri><cid>,MC147_c01346-46949,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1987 December,</unitdate><container>,box 9 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453484,</uri><cid>,MC147_c63313-31147,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1988 April,</unitdate><container>,box 9 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453485,</uri><cid>,MC147_c29762-52758,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1988 December,</unitdate><container>,box 9 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453486,</uri><cid>,MC147_c83311-02574,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1989 March,</unitdate><container>,box 9 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453449,</uri><cid>,MC147_c78334-42990,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1989 April,</unitdate><container>,box 10 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453450,</uri><cid>,MC147_c57917-93886,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1989 December,</unitdate><container>,box 10 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453451,</uri><cid>,MC147_c12404-22664,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1990 March,</unitdate><container>,box 10 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453452,</uri><cid>,MC147_c07661-91567,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1990 May,</unitdate><container>,box 10 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453453,</uri><cid>,MC147_c98380-31529,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1990 May,</unitdate><container>,box 10 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453454,</uri><cid>,MC147_c72934-02954,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1990 December,</unitdate><container>,box 10 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453455,</uri><cid>,MC147_c61038-62788,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1991 March,</unitdate><container>,box 10 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453456,</uri><cid>,MC147_c96647-82898,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1991 May,</unitdate><container>,box 10 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453457,</uri><cid>,MC147_c02454-43504,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1991 December,</unitdate><container>,box 11 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453458,</uri><cid>,MC147_c50415-30593,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1992 March,</unitdate><container>,box 11 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453459,</uri><cid>,MC147_c73704-78966,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1992 May,</unitdate><container>,box 11 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453460,</uri><cid>,MC147_c82948-37728,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1992 December,</unitdate><container>,box 11 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453461,</uri><cid>,MC147_c55080-56026,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1993 April,</unitdate><container>,box 11 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453462,</uri><cid>,MC147_c26074-41711,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1993 December,</unitdate><container>,box 11 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453463,</uri><cid>,MC147_c53239-86541,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1993 December,</unitdate><container>,box 11 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453464,</uri><cid>,MC147_c58403-23504,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1994 April,</unitdate><container>,box 11 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342176,</uri><cid>,MC147_c00015,</cid><unittitle>,Board Membership: Biographies,</unittitle><unitdate>,1951-1968,</unitdate><container>,box 12 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342177,</uri><cid>,MC147_c00016,</cid><unittitle>,Board Membership: Listings,</unittitle><unitdate>,circa 1930,</unitdate><container>,box 12 folder 2-5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342178,</uri><cid>,MC147_c00017,</cid><unittitle>,Board Membership: Prospects,</unittitle><unitdate>,1940-1944,</unitdate><container>,box 12 folder 6-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342179,</uri><cid>,MC147_c00018,</cid><unittitle>,Board Retreat,</unittitle><unitdate>,1989,</unitdate><container>,box 12 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342180,</uri><cid>,MC147_c00019,</cid><unittitle>,Executive Committee Meetings,</unittitle><unitdate>,1930,</unitdate><container>,box 12 folder 12-24 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342181,</uri><cid>,MC147_c00020,</cid><unittitle>,Executive Committee Meetings,</unittitle><unitdate>,1948-1957,</unitdate><container>,box 13 folder 1-35 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342182,</uri><cid>,MC147_c00021,</cid><unittitle>,Executive Committee Meetings,</unittitle><unitdate>,1957-1966,</unitdate><container>,box 14 folder 1-29 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342183,</uri><cid>,MC147_c00022,</cid><unittitle>,Executive Committee Meetings,</unittitle><unitdate>,1967-1979,</unitdate><container>,box 15 folder 1-37 ,</container></record>
